RouteName,RouteNumber,Ecoregion_L1Code,Ecoregion_L1Name
04-216 BREAD CREEK,4216,5,NORTHERN FORESTS
04-219 AMISK,4219,9,GREAT PLAINS
04-220 BASHAW,4220,9,GREAT PLAINS
04-221 LACOMBE,4221,9,GREAT PLAINS
04-222 RIMBEY,4222,5,NORTHERN FORESTS
04-227 LAKE ELIZA,4227,5,NORTHERN FORESTS
04-228 SKARO,4228,9,GREAT PLAINS
04-229 CALMAR,4229,9,GREAT PLAINS
04-230 MOON LAKE,4230,5,NORTHERN FORESTS
04-237 HELENA,4237,5,NORTHERN FORESTS
04-239 EGREMONT,4239,5,NORTHERN FORESTS
04-241 CONNOR CREEK,4241,5,NORTHERN FORESTS
04-254 FITZSIMMONS,4254,5,NORTHERN FORESTS
04-302 LEGEND,4302,9,GREAT PLAINS
04-304 SUMMERVIEW,4304,9,GREAT PLAINS
04-306 Roseglen,4306,9,GREAT PLAINS
04-307 STEVEVILLE,4307,9,GREAT PLAINS
04-309 CLEAR LAKE,4309,9,GREAT PLAINS
04-310 CHAIN LAKES,4310,9,GREAT PLAINS
04-311 CHINOOK,4311,9,GREAT PLAINS
04-312 OAKLAND LAKE,4312,9,GREAT PLAINS
04-313 DOROTHY,4313,9,GREAT PLAINS
04-314 CARBON,4314,9,GREAT PLAINS
04-315 LOCHEND LAKE,4315,9,GREAT PLAINS
04-319 FLEET,4319,9,GREAT PLAINS
04-320 STROME,4320,9,GREAT PLAINS
04-321 TEES,4321,9,GREAT PLAINS
04-322 HESPERO,4322,5,NORTHERN FORESTS
04-326 ELK POINT,4326,5,NORTHERN FORESTS
04-330 ISLE LAKE,4330,5,NORTHERN FORESTS
04-331 CHIP LAKE,4331,5,NORTHERN FORESTS
04-338 NORAL,4338,5,NORTHERN FORESTS
04-340 NEERLANDIA,4340,5,NORTHERN FORESTS
04-352 GROUARD,4352,5,NORTHERN FORESTS
04-401 MEDICINE HAT,4401,6,NORTHWESTERN FORESTED MOUNTAINS
04-404 TROUT CREEK,4404,9,GREAT PLAINS
04-407 Lake Newell,4407,9,GREAT PLAINS
04-408 ROSEMARY,4408,9,GREAT PLAINS
04-412 Blood Indian Resevoi,4412,9,GREAT PLAINS
04-414 SUNNYSLOPE,4414,9,GREAT PLAINS
04-421 PINE LAKE,4421,9,GREAT PLAINS
04-430 YEOFORD,4430,5,NORTHERN FORESTS
04-501 Rolling Hills,4501,9,GREAT PLAINS
04-508 BASSANO,4508,9,GREAT PLAINS
04-511 BUFFALO,4511,9,GREAT PLAINS
04-512 Onefour,4512,9,GREAT PLAINS
04-540 Pembina River,4540,5,NORTHERN FORESTS
04-928 ELK ISLAND,4928,9,GREAT PLAINS
11-003 BORDER ROAD,11003,6,NORTHWESTERN FORESTED MOUNTAINS
11-004 TOKAY,11004,6,NORTHWESTERN FORESTED MOUNTAINS
11-005 KUSKONOOK,11005,6,NORTHWESTERN FORESTED MOUNTAINS
11-006 SALMO,11006,6,NORTHWESTERN FORESTED MOUNTAINS
11-007 NEEDLES,11007,6,NORTHWESTERN FORESTED MOUNTAINS
11-008 BEAVERDELL,11008,10,NORTH AMERICAN DESERTS
11-009 PRINCETON,11009,10,NORTH AMERICAN DESERTS
11-010 SEABIRD,11010,7,MARINE WEST COAST FOREST
11-016 COLUMBIA LK,11016,6,NORTHWESTERN FORESTED MOUNTAINS
11-017 SPILLIMACHEEN,11017,6,NORTHWESTERN FORESTED MOUNTAINS
11-019 MABEL LAKE,11019,6,NORTHWESTERN FORESTED MOUNTAINS
11-020 SALMON ARM,11020,10,NORTH AMERICAN DESERTS
11-023 SHALALTH,11023,10,NORTH AMERICAN DESERTS
11-029 GOLDEN,11029,6,NORTHWESTERN FORESTED MOUNTAINS
11-034 MEADOWLAKE,11034,6,NORTHWESTERN FORESTED MOUNTAINS
11-036 CARDIFF MTN,11036,6,NORTHWESTERN FORESTED MOUNTAINS
11-037 TATLAYOKO L,11037,6,NORTHWESTERN FORESTED MOUNTAINS
11-044 KEITHLEY CR.,11044,6,NORTHWESTERN FORESTED MOUNTAINS
11-045 WILLIAMS LK,11045,6,NORTHWESTERN FORESTED MOUNTAINS
11-046 ALEXIS CREEK,11046,6,NORTHWESTERN FORESTED MOUNTAINS
11-048 HECKMAN PASS,11048,6,NORTHWESTERN FORESTED MOUNTAINS
11-049 BELLA COOLA,11049,7,MARINE WEST COAST FOREST
11-053 MCBRIDE,11053,6,NORTHWESTERN FORESTED MOUNTAINS
11-054 WINGDAM,11054,6,NORTHWESTERN FORESTED MOUNTAINS
11-055 FERNDALE,11055,6,NORTHWESTERN FORESTED MOUNTAINS
11-057 KENNEY DAM,11057,6,NORTHWESTERN FORESTED MOUNTAINS
11-058 DUNSTER,11058,6,NORTHWESTERN FORESTED MOUNTAINS
11-063 Heritage Hwy,11063,5,NORTHERN FORESTS
11-065 MCLEOD LAKE,11065,6,NORTHWESTERN FORESTED MOUNTAINS
11-068 PINKUT CREEK,11068,6,NORTHWESTERN FORESTED MOUNTAINS
11-069 MT MORICE,11069,6,NORTHWESTERN FORESTED MOUNTAINS
11-072 KWINITSA,11072,7,MARINE WEST COAST FOREST
11-074 TUPPER,11074,5,NORTHERN FORESTS
11-075 WILLISTON LK,11075,6,NORTHWESTERN FORESTED MOUNTAINS
11-078 GERMANSEN LANDING,11078,6,NORTHWESTERN FORESTED MOUNTAINS
11-085 HUDSON HOPE,11085,5,NORTHERN FORESTS
11-093 MEZIADIN,11093,7,MARINE WEST COAST FOREST
11-114 ASH RIVER,11114,7,MARINE WEST COAST FOREST
11-117 GNAT PASS,11117,6,NORTHWESTERN FORESTED MOUNTAINS
11-131 Big Bend Hwy,11131,6,NORTHWESTERN FORESTED MOUNTAINS
11-133 Eaganbridge,11133,6,NORTHWESTERN FORESTED MOUNTAINS
11-136 ATLIN ROAD,11136,6,NORTHWESTERN FORESTED MOUNTAINS
11-137 PENNINGTON,11137,6,NORTHWESTERN FORESTED MOUNTAINS
11-167 Ormond Lake,11167,6,NORTHWESTERN FORESTED MOUNTAINS
11-181 Glen Vowell,11181,7,MARINE WEST COAST FOREST
11-185 SUKUNKA FALLS,11185,6,NORTHWESTERN FORESTED MOUNTAINS
11-201 VICTORIA,11201,7,MARINE WEST COAST FOREST
11-202 NITNAT,11202,7,MARINE WEST COAST FOREST
11-208 SUMMERLAND,11208,10,NORTH AMERICAN DESERTS
11-212 POINT GREY,11212,7,MARINE WEST COAST FOREST
11-214 WICKANINNISH,11214,7,MARINE WEST COAST FOREST
11-216 CANAL FLATS,11216,6,NORTHWESTERN FORESTED MOUNTAINS
11-218 GERRARD,11218,6,NORTHWESTERN FORESTED MOUNTAINS
11-220 LAVINGTON,11220,10,NORTH AMERICAN DESERTS
11-222 PAVILION,11222,10,NORTH AMERICAN DESERTS
11-226 STELLA LAKE,11226,7,MARINE WEST COAST FOREST
11-233 CHU CHUA,11233,10,NORTH AMERICAN DESERTS
11-234 LAC LA HACHE,11234,6,NORTHWESTERN FORESTED MOUNTAINS
11-235 RISKE CREEK,11235,6,NORTHWESTERN FORESTED MOUNTAINS
11-236 FLETCHER LAKE,11236,6,NORTHWESTERN FORESTED MOUNTAINS
11-237 TATLA LAKE,11237,6,NORTHWESTERN FORESTED MOUNTAINS
11-244 HORSEFLY,11244,6,NORTHWESTERN FORESTED MOUNTAINS
11-248 NIMPO LAKE,11248,6,NORTHWESTERN FORESTED MOUNTAINS
11-255 PRINCE GEORGE,11255,6,NORTHWESTERN FORESTED MOUNTAINS
11-256 PUNCHAW,11256,6,NORTHWESTERN FORESTED MOUNTAINS
11-265 SUMMIT LAKE,11265,6,NORTHWESTERN FORESTED MOUNTAINS
11-270 TELKWA HI RD,11270,6,NORTHWESTERN FORESTED MOUNTAINS
11-275 TREMBLAY,11275,5,NORTHERN FORESTS
11-284 Rose Prairie,11284,5,NORTHERN FORESTS
11-304 Premier Lake,11304,6,NORTHWESTERN FORESTED MOUNTAINS
11-309 UPPER ASHNOLA,11309,6,NORTHWESTERN FORESTED MOUNTAINS
11-310 Silver Skagit Road,11310,6,NORTHWESTERN FORESTED MOUNTAINS
11-313 DUCK LAKE,11313,7,MARINE WEST COAST FOREST
11-323 PEM MEADOWS,11323,7,MARINE WEST COAST FOREST
